drug	method	column	row	match_not
Rifampicin	Ariba	9	11	Match with phenotype
Rifampicin	Ariba	9	12	Match with phenotype
Rifampicin	Ariba	9	13	Match with phenotype
Rifampicin	Ariba	9	14	Match with phenotype
Rifampicin	Ariba	9	15	Not match with phenotype
Rifampicin	Ariba	9	16	Match with phenotype
Rifampicin	Ariba	10	1	Match with phenotype
Rifampicin	Ariba	10	2	Match with phenotype
Rifampicin	Ariba	10	3	Match with phenotype
Rifampicin	Ariba	10	4	Match with phenotype
Rifampicin	Ariba	10	5	Match with phenotype
Rifampicin	Ariba	10	6	Match with phenotype
Rifampicin	Ariba	10	7	Match with phenotype
Rifampicin	Ariba	10	8	Match with phenotype
Rifampicin	Ariba	10	9	Match with phenotype
Rifampicin	Ariba	10	10	Match with phenotype
Rifampicin	Ariba	10	11	Match with phenotype
Rifampicin	Ariba	10	12	Match with phenotype
Rifampicin	Ariba	10	13	Match with phenotype
Rifampicin	Ariba	10	14	Match with phenotype
Rifampicin	Ariba	10	15	Match with phenotype
Rifampicin	Ariba	10	16	Match with phenotype
Rifampicin	Ariba	11	1	Match with phenotype
Rifampicin	Ariba	11	2	Match with phenotype
Rifampicin	Ariba	11	3	Match with phenotype
Rifampicin	Ariba	11	4	Match with phenotype
Rifampicin	Ariba	11	5	Match with phenotype
Rifampicin	Ariba	11	6	Match with phenotype
Rifampicin	Ariba	11	7	Match with phenotype
Rifampicin	Ariba	11	8	Match with phenotype
Rifampicin	Ariba	11	9	Match with phenotype
Rifampicin	Ariba	11	10	Match with phenotype
Rifampicin	Ariba	11	11	Match with phenotype
Rifampicin	Ariba	11	12	Match with phenotype
Rifampicin	Ariba	11	13	Match with phenotype
Rifampicin	Ariba	11	14	Match with phenotype
Rifampicin	Ariba	11	15	Not match with phenotype
Rifampicin	Ariba	11	16	Match with phenotype
Rifampicin	Ariba	12	1	Match with phenotype
Rifampicin	Ariba	12	2	Match with phenotype
Rifampicin	Ariba	12	3	Match with phenotype
Rifampicin	Ariba	12	4	Match with phenotype
Rifampicin	Ariba	12	5	Match with phenotype
Rifampicin	Ariba	12	6	Match with phenotype
Rifampicin	Ariba	12	7	Match with phenotype
Rifampicin	Ariba	12	8	Match with phenotype
Rifampicin	Ariba	12	9	Match with phenotype
Rifampicin	Ariba	12	10	Match with phenotype
Rifampicin	Ariba	12	11	Match with phenotype
Rifampicin	Ariba	12	12	Match with phenotype
Rifampicin	Ariba	12	13	Match with phenotype
Rifampicin	Ariba	12	14	Match with phenotype
Rifampicin	Ariba	12	15	Match with phenotype
Rifampicin	Ariba	12	16	Not match with phenotype
Rifampicin	Ariba	13	1	Match with phenotype
Rifampicin	Ariba	13	2	Match with phenotype
Rifampicin	Ariba	13	3	Match with phenotype
Rifampicin	Ariba	13	4	Match with phenotype
Rifampicin	Ariba	13	5	Not match with phenotype
Rifampicin	Ariba	13	6	Match with phenotype
Rifampicin	Ariba	13	7	Match with phenotype
Rifampicin	Ariba	13	8	Match with phenotype
Rifampicin	Ariba	13	9	Match with phenotype
Rifampicin	Ariba	13	10	Not match with phenotype
Rifampicin	Ariba	13	11	Match with phenotype
Rifampicin	Ariba	13	12	Not match with phenotype
Rifampicin	Ariba	13	13	Match with phenotype
Rifampicin	Ariba	13	14	Match with phenotype
Rifampicin	Ariba	13	15	Match with phenotype
Rifampicin	Ariba	13	16	Match with phenotype
Rifampicin	Ariba	14	1	Match with phenotype
Rifampicin	Ariba	14	2	Match with phenotype
Rifampicin	Ariba	14	3	Match with phenotype
Rifampicin	Ariba	14	4	Match with phenotype
Rifampicin	Ariba	14	5	Not match with phenotype
Rifampicin	Ariba	14	6	Match with phenotype
Rifampicin	Ariba	14	7	Match with phenotype
Rifampicin	Ariba	14	8	Match with phenotype
Rifampicin	Ariba	14	9	Match with phenotype
Rifampicin	Ariba	14	10	Match with phenotype
Rifampicin	Ariba	14	11	Match with phenotype
Rifampicin	Ariba	14	12	Not match with phenotype
Rifampicin	Ariba	14	13	Match with phenotype
Rifampicin	Ariba	14	14	Match with phenotype
Rifampicin	Ariba	14	15	Match with phenotype
Rifampicin	Ariba	14	16	Match with phenotype
Rifampicin	Ariba	15	1	Not match with phenotype
Rifampicin	Ariba	15	2	Match with phenotype
Rifampicin	Ariba	15	3	Match with phenotype
Rifampicin	Ariba	15	4	Match with phenotype
Rifampicin	Ariba	15	5	Match with phenotype
Rifampicin	Ariba	15	6	Match with phenotype
Rifampicin	Ariba	15	7	Match with phenotype
Rifampicin	Ariba	15	8	Match with phenotype
Rifampicin	Ariba	15	9	Match with phenotype
Rifampicin	Ariba	15	10	Match with phenotype
Rifampicin	Ariba	15	11	Match with phenotype
Rifampicin	Ariba	15	12	Match with phenotype
Rifampicin	Ariba	15	13	Match with phenotype
Rifampicin	Ariba	15	14	Match with phenotype
Rifampicin	Ariba	15	15	Match with phenotype
Rifampicin	Ariba	15	16	Match with phenotype
Rifampicin	Ariba	16	1	Match with phenotype
Rifampicin	Ariba	16	2	Match with phenotype
Rifampicin	Ariba	16	3	Match with phenotype
Rifampicin	Ariba	16	4	Match with phenotype
Rifampicin	Ariba	16	5	Match with phenotype
Rifampicin	Ariba	16	6	Match with phenotype
Rifampicin	Ariba	16	7	Match with phenotype
Rifampicin	Ariba	16	8	Match with phenotype
Rifampicin	Ariba	16	9	Match with phenotype
Rifampicin	Ariba	16	10	Match with phenotype
Rifampicin	Ariba	16	11	Match with phenotype
Rifampicin	Ariba	16	12	Match with phenotype
Rifampicin	Ariba	16	13	Match with phenotype
Rifampicin	Ariba	16	14	Match with phenotype
Rifampicin	Ariba	16	15	Match with phenotype
Rifampicin	Ariba	16	16	Match with phenotype
Rifampicin	Ariba	17	1	Match with phenotype
Rifampicin	Ariba	17	2	Match with phenotype
Rifampicin	Ariba	17	3	Match with phenotype
Rifampicin	Ariba	17	4	Match with phenotype
Rifampicin	Ariba	17	5	Match with phenotype
Rifampicin	Ariba	17	6	Match with phenotype
Rifampicin	Ariba	17	7	Match with phenotype
Rifampicin	Ariba	17	8	Match with phenotype
Rifampicin	Ariba	17	9	Match with phenotype
Rifampicin	Ariba	17	10	Match with phenotype
Rifampicin	Ariba	17	11	Match with phenotype
Rifampicin	Ariba	17	12	Match with phenotype
Rifampicin	Ariba	17	13	Match with phenotype
Rifampicin	Ariba	17	14	Match with phenotype
Rifampicin	Ariba	17	15	Match with phenotype
Rifampicin	Ariba	17	16	Match with phenotype
Rifampicin	Ariba	18	1	Match with phenotype
Rifampicin	Ariba	18	2	Match with phenotype
Rifampicin	Ariba	18	3	Match with phenotype
Rifampicin	Ariba	18	4	Match with phenotype
Rifampicin	Ariba	18	5	Match with phenotype
Rifampicin	Ariba	18	6	Match with phenotype
